Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DX9RLQR1RRMA,626976393955,2024-05-08T06:31:00Z,407-6620777-9220322,Pickup,Not Available,
DCd8Q1RjRRMA,5608539642,2024-04-20T16:43:15Z,402-1602397-2437162,ATS_CarrierPickup,Not Available,
DNWpcxRhRRMA,Not Available,2024-04-16T06:15:09Z,405-9867113-4081151,CustomSellerOption,Not Available,
DwnscsRnRRMA,626890734148,2024-04-12T14:40:08Z,405-0016246-8068301,Pickup,Not Available,
Dz2KvfRMRRMA,626881131642,2024-04-09T15:07:45Z,402-5240041-3359529,Pickup,Not Available,
DyLCvgRtRRMA,626871696465,2024-04-06T18:32:25Z,402-5240041-3359529,Pickup,Not Available,
DGLrvYRtRRMA,626871679178,2024-04-06T18:31:03Z,402-5240041-3359529,Pickup,Not Available,
D1wBzYRjRRMA,Not Available,2024-04-02T04:01:55Z,402-5240041-3359529,Pickup,Not Available,
DmhNz8R8RRMA,626852884973,2024-04-01T08:09:43Z,402-5240041-3359529,Pickup,Not Available,
DwhlzdR8RRMA,514061337482,2024-04-01T08:08:09Z,402-1308473-5485920,ATS_CarrierPickup,Not Available,
DCmxFBRqRRMA,514038604760,2024-03-12T05:26:48Z,402-2526237-9600356,Pickup,Not Available,
DDqGF8RgRRMA,514032836150,2024-03-06T11:10:23Z,402-9189076-2740336,Pickup,Not Available,
DDK4b6RmRRMA,626599254985,2024-01-09T12:29:16Z,402-3848941-7903560,Pickup,Not Available,
DdHD8fp8RRMA,626322438897,2023-10-25T05:10:01Z,405-9676612-8091515,Pickup,Not Available,
DRMfX9pqRRMA,626295766560,2023-10-20T08:43:10Z,405-6228340-4589145,Pickup,Not Available,
DVFbC3pvRRMA,513853749366,2023-10-15T10:57:13Z,405-7108329-6427550,ATS_CarrierPickup,Not Available,
D0FxC9pzRRMA,513853751055,2023-10-15T10:54:18Z,405-4842825-4048335,ATS_CarrierPickup,Not Available,
DlyXWdpFRRMA,513836284433,2023-09-30T13:31:27Z,405-1878448-4185913,ATS_CarrierPickup,Not Available,
D3CYSrpYRRMA,513792653564,2023-08-16T11:22:07Z,405-0359098-7441108,ATS_CarrierPickup,Not Available,
DPwn6ZpFRRMA,513785035568,2023-08-10T05:53:26Z,405-7059002-6710769,ATS_CarrierPickup,Not Available,
D6gJdgpBRRMA,626016871962,2023-08-03T13:58:45Z,405-2457649-7624333,Pickup,Not Available,
DmvjGPp7RRMA,625998001022,2023-07-29T04:15:05Z,405-9039595-0619523,Pickup,Not Available,
Dwc5GNpfRRMA,625982649940,2023-07-24T18:52:49Z,405-9484242-8789142,Pickup,Not Available,
DdR1GrpXRRMA,625974734036,2023-07-22T16:44:01Z,405-9484242-8789142,Pickup,Not Available,
DwRvG8ppRRMA,513763411094,2023-07-22T16:39:22Z,405-6590860-1337949,ATS_CarrierPickup,Not Available,
DXRVGxppRRMA,625974715431,2023-07-22T16:37:28Z,405-9484242-8789142,Pickup,Not Available,
DwBK3NpkRRMA,625847230597,2023-06-11T18:19:39Z,408-1232873-5245947,Pickup,Not Available,
DgGk39pDRRMA,625835631733,2023-06-08T02:33:49Z,405-6416538-0086755,Pickup,Not Available,
DlGR3HpDRRMA,625835628382,2023-06-08T02:31:01Z,405-6416538-0086755,Pickup,Not Available,
Db5YJLpzRRMA,513712363344,2023-06-06T03:47:04Z,405-6910296-7209940,ATS_CarrierPickup,Not Available,
DzDSJ7pJRRMA,Not Available,2023-06-04T12:06:03Z,405-3092324-2009169,Pickup,Not Available,
DXDlJrpcRRMA,625825102175,2023-06-04T11:35:14Z,405-3092324-2009169,Pickup,Not Available,
DNDvJBpvRRMA,625825091790,2023-06-04T11:33:14Z,405-3092324-2009169,Pickup,Not Available,
DltmJnpRRRMA,513710937868,2023-06-03T05:48:59Z,405-6491067-1716318,Pickup,Not Available,
DgZxJcpyRRMA,513708894807,2023-06-02T17:11:56Z,405-6491067-1716318,ATS_CarrierPickup,Not Available,
DVZVJYpwRRMA,513708892834,2023-06-02T17:08:27Z,405-1783686-9769912,ATS_CarrierPickup,Not Available,
Dg4CQYp4RRMA,513646371064,2023-04-08T02:32:04Z,405-3850483-6573900,ATS_CarrierPickup,Not Available,
Dm4tQhpHRRMA,625651989476,2023-04-08T02:12:19Z,405-6637059-7103543,Pickup,Not Available,
DnGXDtptRRMA,Not Available,2023-02-01T03:25:34Z,405-3181152-8649131,Pickup,Not Available,
DwshYYpKRRMA,625456363501,2023-01-24T11:59:39Z,405-8147398-7642733,Pickup,Not Available,
DwNzyZprRRMA,Not Available,2023-01-22T06:19:00Z,406-2342586-3553930,Pickup,Not Available,
Dm6ByYpgRRMA,513561866805,2023-01-18T14:12:49Z,405-8769308-7513130,ATS_CarrierPickup,Not Available,
D1gCB2pRRRMA,625403946696,2023-01-05T12:17:38Z,405-0567745-8761926,Pickup,Not Available,
DcQMBtp4RRMA,625399835349,2023-01-04T03:57:07Z,405-0567745-8761926,Pickup,Not Available,
DlQxBbp4RRMA,625399819547,2023-01-04T03:56:17Z,405-0567745-8761926,Pickup,Not Available,
DPbLNwp4RRMA,625286713699,2022-11-22T11:38:32Z,403-7273155-9661124,Pickup,Not Available,
D3ZgNhpZRRMA,625286635052,2022-11-22T11:12:45Z,403-7273155-9661124,Pickup,Not Available,
DXW1NdpmRRMA,625285357313,2022-11-22T03:53:20Z,403-7273155-9661124,Pickup,Not Available,
DJhhNNpmRRMA,625284289998,2022-11-21T13:37:21Z,403-3877910-3206727,Pickup,Not Available,
D9hxNkpmRRMA,625284290406,2022-11-21T13:37:20Z,403-3877910-3206727,Pickup,Not Available,
DPhSNzplRRMA,625284278275,2022-11-21T13:33:45Z,403-7273155-9661124,Pickup,Not Available,
Dbj7R8pSRRMA,513492484635,2022-11-16T03:14:03Z,405-0901687-3403555,SellerAMZLPickup,Not Available,
D9BGR8pNRRMA,625266645217,2022-11-15T03:06:52Z,405-6660925-4797156,Pickup,Not Available,
DdwjRgpBRRMA,625263633545,2022-11-14T01:23:33Z,405-6660925-4797156,Pickup,Not Available,
DPBthznrRRMA,625244306451,2022-11-06T14:50:00Z,408-7218272-3577937,Pickup,Not Available,
DyBNhKn7RRMA,625244306925,2022-11-06T14:48:18Z,408-7218272-3577937,Pickup,Not Available,
DMW5hcnJRRMA,625240454958,2022-11-05T07:15:36Z,408-7218272-3577937,Pickup,Not Available,
DPWbh9nQRRMA,625240342514,2022-11-05T06:42:46Z,408-7218272-3577937,Pickup,Not Available,
DlR7f5n5RRMA,625204085563,2022-10-24T05:26:41Z,403-7273155-9661124,Pickup,Not Available,
DMJWZvnDRRMA,625139900290,2022-10-08T12:59:29Z,403-9655646-9182714,Pickup,Not Available,
D9SkqtnVRRMA,625132429415,2022-10-07T03:01:20Z,405-6387302-3902719,Pickup,Not Available,
D0BxqMn8RRMA,625123354290,2022-10-04T19:32:07Z,405-6387302-3902719,Pickup,Not Available,
DVTmgcnBRRMA,513416533692,2022-09-15T03:06:37Z,408-2151329-4425946,SellerAMZLPickup,Not Available,
DCfPX4nPRRMA,513394965775,2022-08-26T09:31:19Z,405-4709805-2197119,SellerAMZLPickup,Not Available,
DwNbCqnVRRMA,513390835522,2022-08-23T05:39:41Z,405-4709805-2197119,SellerAMZLPickup,Not Available,
DbDNCTn8RRMA,624988457405,2022-08-21T11:27:23Z,405-4392601-3757904,Pickup,Not Available,
D1b3C7n9RRMA,624983747655,2022-08-19T14:46:21Z,405-7636389-0733914,Pickup,Not Available,
DPCgCsnZRRMA,624977455993,2022-08-17T12:39:02Z,405-9383958-4609918,Pickup,Not Available,
DVLpCznxRRMA,624975272318,2022-08-16T20:05:25Z,405-0149961-6016368,Pickup,Not Available,
D0y7phnbRRMA,624964590249,2022-08-13T07:56:21Z,405-0255683-8216350,Pickup,Not Available,
DzFJpJnZRRMA,624964500101,2022-08-13T07:32:43Z,405-0255683-8216350,Pickup,Not Available,
DXFQp8n8RRMA,513379116581,2022-08-13T07:21:14Z,405-0494796-5261142,SellerAMZLPickup,Not Available,
DG7spVnGRRMA,624960899056,2022-08-12T04:51:21Z,405-0255683-8216350,Pickup,Not Available,
DD7RpdnGRRMA,513377512637,2022-08-12T04:47:42Z,405-9078610-1159562,SellerAMZLPickup,Not Available,
Dg88pZnrRRMA,624959993468,2022-08-11T15:36:59Z,405-5134389-1140310,Pickup,Not Available,
DJ8npSnsRRMA,624959971954,2022-08-11T15:30:08Z,405-9383958-4609918,Pickup,Not Available,
D68WpfnsRRMA,624959961900,2022-08-11T15:28:07Z,405-7947903-9828345,Pickup,Not Available,
DMwPp3nPRRMA,513375264439,2022-08-10T08:44:49Z,405-6607720-0809152,SellerAMZLPickup,Not Available,
DwTCpbn4RRMA,624952082480,2022-08-09T04:49:39Z,405-0255683-8216350,Pickup,Not Available,
Dzf4pvnTRRMA,624949537597,2022-08-08T08:10:49Z,405-2290434-5973102,Pickup,Not Available,
